input_clean,output_clean
2 problems in my iphone 7 after upgrading to ios11 1. battery drains like anything 2. the home scree is getting hang,we want to help get your iphone working as eected. please meet up with us in .
nah i m switching banks y all get on my nerves,we are sorry to see you go. if you change your mind let us know. we are here to help. ra
"., please fix this.","let us know in message the ios version you are using, and we will continue from there."
guaranteed 60mbps! yeah. right.,good morning! i would really like to help with your internet services. when you can plz message your phone number and address to chat?
hey why is blurred lines in your playlist entitled happy tunes? i cannot really label it as happy,"2 create playlists, but we ll pass your feedback on"
buenas tardes alg n correo de contacto para hablar con alguien de log stica de amazon mexico,"hola cristhian, en este casi te recomendamos ponerte en contacto con nuestros compa eros de servicio al cliente para que ellos te puedan asistir y ayudar con cualquier inconveniente. para hacerlo abre el siguiente enlace"
riennemenerveplusque le livreur qui dit quil est pass pour livrer mon amazonprime ...alors quil nest pas venu,"bonsoir, avezvous signal cela aupr s de notre sav ?"
please help my friend fix her hand cycle in time for the chicago marathon 23in571wheel,"we truly sorry for the disappointment, kathe. please have your friend reach out to us directly so we can follow up."
"i purchased earphones from ,please clarify who will provide after sales service???",all after sales services warranty and repairs are handled by the manufacturer. more info request you to get in touch with the support team of the manufacturer and escalate the details. they are the right ones to approach for assistance.
i m letting you guys know i completed and still doesn t give me diamond if it s a bug try your best please callofdutywwii,"apologies for the delay, we are actively working to resolve these issues now, we appreciate your patience"
our order just came and its missing items how do we go about getting those?,we apologize for any inconvenience. kindly send a note here so we can connect.
why shower the extra legroom seats booked and then when i get onboard they ask people to upgrade? is it so i can t use my pts?,hi nicky. seats can only be purchased with points if you are a mosaic customer.
"help someone changed my psn email and password, i cant call sony because it weekend today. pls, help asap.",not good! we have sent you a direct message via twitter with further instructions.
uber randomly added apple pay as my default pay option. don t have apple pay account and can t remove it. so now waiting on tube home.,here to help! follow up here and our team will connect right away.
"well, it is being tracked through usps and has said picked up by shipping partner and has yet to hit them in ohio yet, so i am not holding my breath considering i am in a different state.","if your package does not arrive today, please reach out to us by phone at this link here"
i am very disappointed fror your service. worst eerience of my life from your end.,sorry for the trouble.we are here to help you. please elaborate your concern and message us your number to assist you better.
your driver on downing st cambridge right now. on his phone. weaving and driving slow. cars almost crashing into him.,hi louisa can you message us please so we can get some information becky
i would like to change my survey response. what was promised was not what i got. notthenorm,...speak to a supervisor for further assistance. aos
see even asks if it was a mistake but ohhh no you are gonna pay again when you call... give away 60 fail badbusiness,"hi benjamin, what is going on? feel free to message us more details. lisi"
"fly found on your bakery in you whitechapel plumbers row store, staff did not seem to bothered when told, and have not removed.",i would like to raise your complaint to management and log it on our system for further review. could you please message a few details?
loving the new safety video,"we are pleased to hear that, vicky. we love it too! linda"
subtly check message,"thank you, we will respond shortly."
its on that picture. 1841 e allegheny ave 19134.,thank you for the info. we will share your feedback. nw
nice job really incredible burrito roll right here,oh wow. sorry about that. let a manager know next time or go to tay
i need y all to fix the glitch that s making a and a question mark before i buy iphone x for 1000 this should be perfection!,here s what you can do to work around the issue until it s fixed in a future software update
nvm everything is good now. i guess it was just a hiccup or something.,"hi nick. we are to hear that your services are working again. if you have any other questions or concerns, please feel free to reach out to us for assistance. topher"
hey i was just notified that my deliveries failed. i have stayed in all day to receive them and your delivery guy has not been here. this is unacceptable. what can you do to help???,"hi philip, i am sorry to hear this. who was the carrier for your order? what was the original estimated delivery date provided in the order confirmation email?"
"oh i see how it is . i listen to chris young relentlessly but don t get concert presale offers, but listen to shawn mendes once a week and get a super fan offer for an exclusive vinyl record. .","hi there. we are sorry you feel that way. we appreciate your feedback on this, and we will be sure to pass it on to the right folks"
excellent. thanks very much.,no problem!
hey i m trying to save my imovie project and this is the error message i m getting ?,we would like to help get you in touch with the right group using this link
why do i have to reenter my wifi password constantly since the latest ios update? 4x in last 3hrs,we are here to help. which device are you currently using?
", why can i fastforward through commercials in some my stuff programs but not others? i thought adding to my stuff was your version of .","hi, clay! cloud dvr records live tv if added my stuff. you will need enhanced cloud dvr to ff commercials"
you can t say a package will be delivered on time when that time was yesterday. unless you got a delorean or you re talking about a year from now. where is my package,please message us your tracking number and complete address if you would like our team to look into this.
"there is a problem with gps,privacy and homekit",we d be glad to take a closer look at this with you. please confirm what the screenshots say in english via .
hey hey are you eected to have any iphone x in stock today in store? or all preorder?,thanks for taking the time to reach out to us. we would like to look into this. please message us your store location.
what is the point of useless replies. went to the uber link and all it said was that fare was within limits. why pay for a 1hr 45 mins 5 km trip which normally takes 30 mins. useless routing. thugs cheats . go ola always. ole ola. ubersucks,"we do show that someone in the appropriate team has responded back to you via the inapp help section, xerxes, in reference to this inquiry. please check there for an update. please let us know if we can be of further assistance."
the mcdonald s in orlando still has pizza and pasta. we went over the summer and it is still there. must try.,"get a pizza this while you still can, chris! looks like you found a unique favorite."
i got a response from dell and all my responses seem to be hidden.,"we have direct messaged you, deirdre."
my playstation is taking hours to download a game i got from the psn store. this seems highly unusual and it is super frustrating because i have been waiting 5 hours to play. anyways to fix this?,"happy to help! to improve your connection, please power cycle your network devices and try again"
why do i keep getting emails with 5 off my next 2 orders but when i go to redeem it says i cant use the code again?,hi here to help. please message us the email linked to your uber account so we can look into this for you.
yanno its a bad day when there s no sausage in your sausage rolls,ohhh message us and we will fix it!
"our iphones are unusable right now they keep rebooting themselves non stop, please fix this!","thank you for that information. create a current itunes or icloud backup, and follow the steps in this article"
i was able to sign up using a gmail address. app didn t like my personal domain email for some reason.,we are glad to hear you are back on track. give us a shout if you have any other questions.
have not responded to my request to refund my money for a flight they cancelled. do not book ba ever!,"we are sorry you have not received your refund. as you booked through a third party, you will need to contact them about this. danih"
it is me again. you were taking too long to answer so i solved my own problem.,"sorry for the delayed response, but glad you were able to get it resolved. if you need assistance in the future reach back out anytime."
can you share contact details for business talk as i am not able to clarify my issue on the link.,we will not be able to call you from twitter. please drop in your details here and we will reach out.
what is this?! my friends and i are getting this and it turns i s in a with a ? or box beside it.,thanks for reaching out. which device and ios version are you using? let us know via a dm. we ll go from there.
i am sorry i was not clear in my 1st tweet. i have a new phone so the authenticator app was dead when the phone died. the change of phone and was an emergency situation and i did not have time to clear all the settings. please just remove the 2step verification.,hi zach. we would not have access from here to do this. can you make this request directly via thank you.
when does your festive range come out? thanks,the week after next!
fix this shit for real ! it is annoying af !!,here s what you can do to work around the issue until it s fixed in a future software update
"which is a lovely gesture, but cann you give me an estimate of how much food is thrown out per week or month from your stores .","we cannot give out figures regarding waste, but i assure you we do all we can to minimise it. you can find out more about the ways we work to minimise food waste by visiting our waste less, save more website here reid"
"this is upsetting . this store is a needed resource for the community, and the store is always busy. seems like the locations staying open have more similar demographics canton, towson, pikesville ...",we understand the frustration that this may have caused. the decision to close a target store is not made lightly.
not v happy. 2 days in row parents amp been in newcastle live miles away only to be told calendars out of stock but can come back tomorrow. disgusting.,the offer is updated daily helen and is really popular. you manage to get one.
hey i paid for an entire seat not of a seat what gives?,"check with our team about other seating options, becca."
"hey . problems with your website checkout? can t finishing upgrading. no errors, just reloads payment page. tried multiple cards all valid, working, have money on!","we are aware of an issue with payments at the moment, we are working to get this sorted as soon as we can. thanks for your patience."
can you confirm if your scottish stores will keep their scottish packaging on scottish produce?,"hi there, thanks for your query. if you send us a dm, our customer services team will be able to advise. thanks."
got a new phone and i cannot remember my old password. i have no way to update my contact and get a verification code!,thanks for reaching out to us about this. please reach out to us directly using this link and leave a brief note.
ups is the carrier.,"thank you for letting us know. does the latest tracking on their website give any insight to the delay, or clarify a new delivery date?"
"flown from ruh to prg via heathrow, ba262 my pre ordered meal was fruit platter but air hostess not even bothered to check pre ordered meal was correct or not. did not eected such lousy service from ba as this will my first and last fly with .","we are very sorry to hear this, asif. was your meal the correct one? lynn"
mobilecare internet out in joliet west side????,"hi, i would like to look into this internet issue for you. can you send me a message with your address to locate the account?"
"hi, why is it at your cardiff queen street store, you have 16 self serve tills but only open half of them when there is a queue?",sorry about that! what time did you visit the store? i will feed this back. ewan
issue is not about cancellation its about refund and not giving proper information,i ll be more than happy to help. please share your details here and i will get in touch with you.
is really breaking the bank on these sales! lol!,thank you for bringing this to our attention. could you please message us with the store location you visited and seen these sale signs?
3rd time trying to get piece of crap iphone replaced. last time i was here 4 hrs! told 1.5 hr wait. this is bullshit.,"we want to know more about your eerience. send us some details about it in dm, and we ll work with you there."
and this train isn t being affected by any of the works in basingstoke,this train terminates at basingstoke. we have planned engineering works this weekend between basingstoke and
what is going on in san antonio? internet is sluggish.,hello. i apologize for the service interruption and i would like to check on this for you. please send the phone number associated with your account in a message for further assistance.
"italya dan gelen kargonun artik tr ye girememesi! tr, fiiliyatta artik ab adayi bile degil! tebrikler!","do you need help with a package? please use the link to message your tracking number, delivery address and phone number."
hii i m a new member on lyft and someone referred me so i got a free ride and yet i was still charged?!!! helpp,"hi there, can you message us the phone number associated with your account so we can take a look?"
had a very awful eerience with lyft today at san francisco airport. really hoping their support responds to my help ticket immediately...,hey there. can you please message us your phone number so we can take a look at this for you?
"yate to brighton, 12.14pm today",i see. i am afraid this was due to a fault with the signalling system. you can claim compensation via gwr here
i have a meeting on the morning of monday 6th november.,what time do you need to be london euston for?
why is my i showing up as gibberish??,we have got you today. check out for steps to address this concern and message us if we can help further.
y all seriously need to get it together with these boxes. it s highly annoying,"thanks for reaching out. this article has more details on that behavior, including how to address it"
please fix this a ? box shit cuz it s ugly to look at,thanks for reaching out. we recently released ios 11.1.1 that may have fixed the issue. have you already updated? please reply in .
it s being delivered on tuesday but there will be no one at home so i was hoping i could pick it up after work if it s going to be a daytime delivery,"has it been dispatched yet barry, if yes, can you tell us who is the carrier? we will not be able to redirect it to a locker but if we know who the carrier is, we might be able to check possible options with them."
ok so ios 11.1 is super glitchy amp still sucks power. betaregret,let us look into this together. send us a message with the device you are eeriencing this on. we will meet you there.
can you tell me what carriages on the 17.25 i need to be on for hanboroughs short platforms? i am 8 months pregnant so cannot push through lots of people on board so need to get on at the right doors.,"this should be the leading three coaches, please listen to onboard announcements to confirm. jordan"
well...been on hold for a manager for over 20 mins now...thanks guys!!! dinner is jacked and so is my night,"so, so sorry for the error at the store. we will fix it! message with your phone number and store info!"
i used your popcorn as inspiration.,ooh this looks lovely! we hope you enjoyed it
"why do eye have to update my phone for my eye to not be a question mark, huh ?",we would like to help. which ios version did you update to? let us know in .
your support system does not work! please contact me to reinstate my account as soon as possible,"we apologize for the inconvenience, ben. we are here to help. if you could please provide us with the email address and phone number associated with your uber account, we can further investigate this matter."
when is season 3 available!!,"no news yet, but our best personbirdpersonis on it. he recommends keeping the show on your wl my stuff for updates!"
it is every night!!!,i apologize for the inconvenience. if you are still eeriencing an issue with your services please feel free to reach out to me directly in a private message with your account and phone number.
"then how did i get my parcel in just 2 days when paid rs80 separately. you are just fooling us. my some friends live in metro cities and they have availed prime membership, still they do not get 2 days delivery.","the delivery estimate is calculated based on multiple criteria, including the location of the inventory of item, the delivery address, and how quickly we can put your order together and get it to courier."
i regular customer and continuously buy these crisps. i bought 2 mulitpacks to find every bag was soft and not sealed never again,"hi jordan, sorry about this please pass me your address or more card and i will sort a refund for you. tracey."
home,are you still out of service?
too late now it came back already. pretty sure it was almost the entire north east that was out at the time.,we are happy to hear everything is back up and running. please contact us if you have any other questions or concerns.
if i m flying to lhr from pdx what s the best route to get some miles? thanks!,hi nicola. here is a link to our partner airlines. you earn miles based upon the actual mileage flown and the class of service. maeghan
what do the staff do the rest of the time on a 2 hour journey with few stops?,"they will have other jobs to do, the will be serving all of first class and preparing the trolly."
you lost my bag yesterday and now i can t track it as your website isn t working. please help.,we will look into this for you and have the bag back to you as soon as possible. kimbers
i have already messaged could you please elain to me what s happening here. is my icloud being hacked or is this a bug from you side,we have received your message and will continue with you there. be on the lookout for our reply. thanks so much!
checkout for uber eats does not work,we are here to help! send us a message with your email address and more details so we can follow up.
"kind of hard to make money for us, when i cannot upload pictures.",sorry to hear this! we were not aware of any issues. we d love to fix this. what happens when you upload a photo?
even with additional shipping charges it is cheaper to buy from .com than .in! why the atrocious pricing?,i do get your concern.the prices are decided by the sellers. you can connect with the seller for detailed elanation on pricing.
"already did that, but to no resort....",we are unable to access your account details over twitter. kindly share them on the link above and we will look into it.
need help. uber is sending me offers of chandigarh city only while it has been 5 months since i have moved to gurgaon. please look into the matter. 919463722853,here to help! send us a note via so we can connect.
and this i shit is pissing me off !!,thanks for contacting us. we ve got your back. check out the workaround in this article
"the poor hygiene at leigh cafe is shocking and seems to be normal. trays, crockery and cutlery often not properly washed.","i am really sorry about this louis, did you raise this to a colleague in store? can you also confirm the store you visited via the link goldie"
i have been waiting since the 29 september for a reply.. has anyone else waited less than that,"hi mike, please accept our apologies for the delay in our reply. our customer relations team will be in touch as soon as possible."
"that is a wired speed test, i just took a picture of my laptop with my phone",the picture you sent us has all of your phone information at the top from a screen shot. camera pics do not show this.
paid extra for a ripped gift wrap!? amazon,i am sorry for the poor wrap job. we cannot access your account via twitter. contact us by phone chat
your game broke. i keep getting an update failure? error code1,can you please try resetting your modem router and clearing your consoles cache to fix this.
please respond asap.,"hey, taylor. we have received your dms and will be following up shortly."
my wife just got a new phone and the lease agreement was emailed to her in spanish. called customer service and went back to the store no one says they can help. how can we get the lease agreement in english?,what is the contact number associated with the agreement?
i have been speaking with their local rep. their solutions costs more . i offered compromise but no luck.,"cary, i am so sorry. do you need any assistance with your flights?"
i bought an iphone 8 sand i would like to buy an iphone x. can i trade in my iphone 8 for a discount? thank you !,that may be possible! please provide us the country you are contacting us from so we can look into tradein programs.
my iphone 7 is getting very hot since i upgraded to 11.0.2 is that normal,"we want you to enjoy your iphone we will do all we can to help. to start, when was your iphone updated to 11.0.2?"
"i just opened a new account online and received my card today but i cannot find my pin, where would it be?",pin s are sent separately. please allow a few more days and then contact us if you have not received it. kl
"damn stuck at bergen waiting for a no show, to see if i can get on ba 759 to london.","we are really sorry about this, anthony. can you let us know your flight number? danih"
is your system down? i m trying to pay my bill online and it keeps saying system error . target,we are not currently aware of any outages on our site. we apologize for the troubles. please feel free to contact our redcard team by calling the number on the back of your card. please let us know if you have further questions. take care!
worst possible service you hav...i hav booked a cab ... n after i board driver says he has no gas n is making me wait 1hr,"sorry for the trouble! send us a note here, and our team will be in touch."
zero! no one is here!,please use the link to provide your confirmation .
"you re establishing a reputation when elisabeth at b46 sees you running and says mr belton, your chariot awaits. thanks","hi p draig, thanks for sharing your eerience! we hope you enjoy your time on board with us today!"
yateley sainsburys local,can you confirm the exact store here please lauren
is there some way i can send report to you what seems to be a fake email that claims to be from you?,thanks for reaching out to us today. you can report suspicious emails using the link provided here
"after the revolution, i will use your skulls as cereal bowls.","hi jeanpic, thanks for reaching out to us with your concern about the slow speeds. i would like to help restore the ..."
confused about our 14 hour flight from lax to hog is ther food in business? canteat200 businessclass,"hi, lisa, we are still operating with limited catering service on flights from lax. soon we will get back to normal. our apologies about this."
this is beyond disgusting i went to pickup my rapid order with a drink and this is where i was supposed to get it! gross,hi cari that does not look quite right. mind sharing your bakerycafe location and order number with us in a message so we can help?
08079772477,"if you did not get the sms, it means you were not qualified."
i will have a look thank you.,you are very welcome.
check message,i do not show a message from you. please try again.
have 2 days to go.. so you can stop them eiring ...,any earning or spending activity keeps all of the miles going. please call our flying club team for assistance
apparently it s acceptable to leave this not fixed because you only have an hour on the ground?!,...so we can forward this to our maintainance team? lolly
why is nobody replying to my requests. my account has been blocked for reasons unknown. somebody please reach out to me. ubersupport ubersupportnotresponding .,"hi, raj. we have escalated your support inquiry to a specialist, and someone will be reaching out to you momentarily. we appreciate your patience and understanding thus far."
has anyone had atampt show up on ios 11 like this as a carrier?,we would be glad to assist with this. which region is the iphone set to? which device model and ios version? let us know in .
flying to west virginia this week. unfortunately could not get a flight with breaks my heart.,"aw... we knew we felt a part of us was missing. looking forward to our next opportunity to welcome you onboard, matt!"
ti prego fai qualcosa per i nostri iphone 6s che dopo l aggiornamento durano pochissimo apple iphone6s batteria help ios11,we offer support via twitter in english. contact us for help in your preferred language here
dear jessica on flight 1730 from ft myers to nyc is a monster at overhead bin efficiency. accolades accolades accolades,"we are thinking you mean this in a good way? we will pass along your comments, timmy, thanks for letting us know!"
"i need to speak correspond with someone at bofa regarding check endorsement of an item made out to a deceased person, plus another item","thank you for reaching out to us. we are here to help. you can contact our deceased customer team directly at 1.888.221.4299 from 8 a.m. 6 p.m.mon thu, 8 a.m. 5 p.m. fri et. they should be able to answer any questions you may have. thanks! bc"
can you pls do something about the pa system on this train? it is horrific.,"sorry to hear this, could you tell me the carriage number please? this can be found by the internal door."
my phone is not turn on when it plugged in,"we have received your dm, and we will work with you there towards finding a resolution."
why am i alone in the headquarters on ww2?,"it is a known issue, if you need technical assistance please send us over a dm."
my delivery is officially late. sadness has eclipsed my soul.,let us see what is going on. click the link to message us your track so we can assist. j..
"my phone has been doing this all day, stupid iphone5s",we can help. message us and let us know the type of iphone you are using and the ios version installed. thanks.
"left sunglasses in and uber, driver gave to the person who rode after me, any chance i can get these back?",oh no! thanks for bringing this to our attention. message us your account email along with details for assistance.
"have deskjet 3050 j610 prints blank pages have ink, updated software, cleaned in cartridge help please. thanks","hey simone, i would like to help i see that you have already tried cleaning cartridges and issue persists. for further support,"
do you have the volcanic vindaloo in stevenston?,hey!! yes we have them available in the stevenston store. nisha
"hot dog rolls also called finger rolls, there has been none available at all, cannot really see the point in them stocking hotdogs, when you cannot buy anything at all to put them in.","hi paul, let me have a look into this and i will get back to you. ty rian"
thank you!,you re welcome. if you need us in the future we are just a tweet away!in
kys fucker,"good morning jake, is there something we can help you with? can you please follow dm the account information including the full address and phone number along with a description of the issue?"
"if i renew my domain name for 10 more years, will i have it for 10 years after today, or 10 years after the original eiry date?","hello, it would be from the eiration date. lisi"
"i have been trying to cancel my flight and request a refund for now 3 hours. the screen keeps freezing at the final step, this is not acceptable","hello, please follow dm your confirmation number to this link for assistance."
i have tried to replace it twice at an agent and it has failed,buy a replacement and message contact for assistance.
"i am a platinum member. i was charged for a room that i did not rqst, in a city i am not in, at a price i would never pay. the hotel is running a scam!! hie miami hialeah fix this please!",sorry to hear this. we received your message and will respond shortly. thank you. jo
hi there,"hi, kindly submit a web form on this for further investigation and assistance. thanks emir"
since your shitty update all my numbers keep deleting themselves,hey there! let us look into this together. could you tell us which iphone and ios version you are using?
"fraud i am paying for 150mb s service, and for the third day in a row, i am getting 4 or less mb s. all day! again! gt","please, message me your full address so i can address these internet speed issues for you. thanks."
having nintendo switch and mariokart cases on the shelves but not actually having any stock has left a young lad extremely disappointed no stock within a 20 min drive either!,"i am so sorry to hear this carl. you may want to try buying it online from our website, or if you can message me your post code i can check when we will have more stocks in stores near you. ty jazz"
new grab bag of cat toys from came in the mail today. i have 2 happy cats tonight. merryearlychristmas nippedup cats catmom,"happy cats, happy life!"
what type of stupidity is this?,"hello, thanks for reaching out to your concerns and i am happy to help. can you please message the full address?"
literally jumped out of my to grab a taxi!!!!! lyftsucks neveragain ridefail,we do apologize but our phone lines are reserved for inride emergencies only. we are more than happy to assist you through social media!
i need urgently your help. we cant check in our kids for tomorrow. because ba transm. wrong dates.,"hi sabrina, if you are not able to check in online it will need to be done at the airport. sorry for any inconvenience. alex"
"okoa jahazi not working on my line why, it says there was a technical error",message your number we check it out.
why do i have to continually reboot so i can send imessages? this is what i used to do with my old bb. insane,we would like to know more about the issue you are eeriencing to see if we can help. message us with what type of device you are using.
. hi! i know someone in toronto buying a taxi plate to drive taxi. do you also process taxi plate transfers for mls? topoli,here to help! send us a note via so our team can connect.
really the work or purchase done in ebay is really worst eerience for me. even with ..... no more with,"oh dear, that does not sound good! please contact our ebay india team for any ebay india transactions"
"el pedido a n no se enviaba, el nico correo que recib fue el de la confirmaci n de compra... entonces se podr a decir que a n no pagaba? es decir que si lo vuelvo a pedir no cuenta como un doble gasto? pr cticamente no compr nada, verdad?","en este caso no tenemos acceso a tu cuenta por este medio, sin embargo puedes ingresar a este enlace seleccionas mis pedidos podr s revisar si el pedido se encuentra activo o contactar al servicio al cliente"
i cannot connect my nikev4.8.7 running app to facebook on iphone 6 ios 8.4. note i do not want to upgrade my ios yet.,"here to help, alvin. you will have to update to ios 11 in order to use our nrc app. report back once you have done this."
yeah they got back to me and said i would have to wait another 14 days to get my refund! this company sucks!!,we are sorry you feel that way. we would suggest continuing to talk to them via email about this to keep correspondence in one place
wtf?,"good afternoon, i would be happy to help with any internet issues you are having. can you please send me your name and..."
"already tried disabling hardware acceleration, it do anything.",thanks! we have passed this info on to our eert they will review and get back to you asap.
foolish company amp worst company ever and this company is cheater and full of pathetic dont believe on this company all are fraudsters here,"hello, please click below to send us a private message and i will look into this. thanks! maya"
ios11 is ruining iphone 6s . pile of s does not even stay on anymore. software company? yea right,"thanks for reaching out, we want you to be able to enjoy using your device. meet us in message and we will assist from there."
hey guys! had an issue with a order that i asked to be delivered to a neighbour but was posted through letter box and is now destroyed by dog.,"hello ella! i am terribly sorry to hear this has happened! since we do not have account access over social media, we would be more than happy to help w this issue via phone or chat here"
"so my little brother redeemed the bonus content from my physical battlefront ii deluxe on his account, is there any way to delete it and add it on mine?",sorry to hear that! unfortunately once a code has been redeemed it cannot be reversed or transferred.
"your beam service does not currently have any video films or tv as advertised ?! only has things to read, like magazines.","which service are you on today exactly, christian?"
phishing takeitdown business credential phish hxs momyco.men filedirectory opendocument512kb microsoftpages.docx,"hey, could you please forward any phishing incidents to email so we can investigate? thank you in advance, we really appreciate it!"
20 minutes...8 drop in battery...what s going on with my watch runninonfumes timcooksafailure barstoolwasright,hi. we would like to help. message us and tell us which version of watchos you are running.
after paying for gold package.... these are the speeds i get.... we need to have a conversation about this......,hi share your account number.
"ever since the last game update, i have only been able to play one match. every other time, party or no, i get kicked back to the main menu. did not have this bad of an issue before the update. codwwii","i apologize for the delay, dedicated servers have just been restored. are you still having issues with this?"
getting this error after first acknowledging the code is for 12 months ps plus,"hi there. let us look into that. please make sure you are following us, so we can assist you better via a direct message."
"view from the front of this pack, the steak looked good. on opening it was full of fat on the back! not acceptable","if you can also message us your full name, address and email, we will organise a full refund for this product. thanks ian"
"thanks for getting back to me, yes. i was wondering if not updating your phone when a software update is available causes that?","we would need to look into it some more, but if there is an update available, let us back up and update the ios to see if that helps."
love this. see you in a few hours . vegas bound from oma,we surely thank you for being our customer too.
early check in facility at singapore changi not working for ba customers. news time of fix ?,"we are sorry you are having problems doing this, rich. have you been able to check in? if not you will need to complete this at the airport. lynn"
refreshed my dms several time and nothing. could you resend?,sure thing. i will be messaging you shortly.
smh! this plane is so dirty the flight was already delayed!! you all could have at least cleaned up,"hi, kevin. sorry about the cleanliness of the cabin. please let one of our flight attendants onboard know, so we can help fix that."
i still have an active subscription that runs till 30 october wit over 2000mb of data and you thieves took my 2000naira airtime,part of it. thank you. anopo
were saying our train at worcester was cancelled 15.minutes before,"if that was on their app, i would not really be sure why but i apologise for the confusion caused"
yet again! ba have managed to cheese me not alllwing me to pay for seat change amp cs no help,...member of staff at gla however. they will be in the best position to help. lolly
you know those moments when your in the thick of it in your work microsoft,"we regret to hear that, marcos. let us get this sorted. please refer to this link for more details"
lol! i am totally unsure if i did. since it was at 4 am though. i think she did. my receipt would say right?,"lol! yeah, your receipt should say. julie"
"since flight ba0775 is delayed over 2 hours, where can i claim my free food and drink in arn departures?",colleague at the airport. i am sorry for any inconvenience caused by the delay to your flight today. kev
"thank younot a problem, as long as i can check my second bag when i get there im happy!",we certainly got you covered!
hey you cheated me an amazon prime customer twice this month. shame on me right?,looks like you are upset with our services and i am sorry about it. did any of your concerns go unaddressed?
je ne vois pas o je peux le signaler sur mon espace client ? j ai envoy un message au vendeur qui est rest sans r ponse,veuillez le signaler notre sav via le lien suivant
when your driver ignores you when you nearly beg to change route because you know which is the fastest and instead he takes you through every single traffic light in manchester and he doesn t even know where is he going! ffs uber,here to help! send us a message with your email address so we can connect.
whats the point of having a trusted number for two factor when the your system refuses to call it with verification codes?,let us look into this together. reach out to us in a message to get started.
